symbol,trigger_ts,filter_name,trigger_price,decision,confidence,entry_price,stop_loss,take_profit,outcome,exit_price,exit_hours,pnl_pct,tokens_in,tokens_out,reasoning_short
TSLA,2026-05-14T14:00:00+00:00,ema_pullback,444.38,enter,6,444.38,438.61,455.92,hit_sl,438.61,22.0,-1.2984382735496605,7707,478,EMA pullback trigger at 444.38 with price sitting just above EMA20 (440.56) in a
TSLA,2026-05-14T18:00:00+00:00,ema_pullback,444.89,skip,4,,,,,,,,7708,442,"EMA pullback trigger fires at 444.89 near EMA20=442.64, but several factors weak"
TSLA,2026-05-22T14:00:00+00:00,volume_absorption,430.44,enter,6,430.44,425.44,440.44,hit_sl,425.44,5.0,-1.16160208159093,7708,440,Volume absorption trigger fires: current bar (05-22T14) closed at 430.44 with vo
IONQ,2026-04-29T19:00:00+00:00,volume_absorption,42.1,skip,4,,,,,,,,7715,507,"Volume absorption fires at 42.10 with 2.3x volume and price above VWAP (41.36), "
IONQ,2026-05-04T19:00:00+00:00,ema_pullback,45.78,skip,4,,,,,,,,7720,409,"EMA pullback trigger fires at 45.78 near EMA20 (45.60), with StochRSI K=4.7 deep"
IONQ,2026-05-05T14:00:00+00:00,ema_pullback,45.89,enter,6,45.89,44.79,48.09,hit_tp,48.09,4.0,4.794072782741344,7720,485,EMA pullback setup: price at 45.89 has pulled back to EMA20 (45.57) after runnin
IONQ,2026-05-06T14:00:00+00:00,volume_absorption,50.29,enter,6,50.29,49.08,52.71,hit_tp,52.71,3.0,4.812089878703523,7721,499,Volume absorption trigger fires with 2.0x average volume on a bullish bar closin
IONQ,2026-05-07T13:00:00+00:00,ema_pullback,50.865,skip,4,,,,,,,,7716,526,The ema_pullback trigger fires at 50.87 vs EMA20=49.30 — price is still above EM
IONQ,2026-05-11T13:00:00+00:00,ema_pullback,53.48,skip,3,,,,,,,,7718,869,Scanner misclassified this as ema_pullback but price (53.48) is 4.96 points abov
IONQ,2026-05-12T17:00:00+00:00,ema_pullback,53.64,skip,4,,,,,,,,7724,800,EMA20 pullback trigger fires at 53.64 but multiple indicators contradict a clean
IONQ,2026-05-13T14:00:00+00:00,ema_pullback,54.73,enter,6,54.73,52.76,58.67,hit_sl,52.76,47.0,-3.5994883975881584,7716,473,EMA pullback trigger is clean: price at 54.73 has pulled back toward EMA20=53.84
IONQ,2026-05-14T13:00:00+00:00,ema_pullback,54.36,skip,4,,,,,,,,7717,967,"EMA pullback trigger is technically valid (price 54.36 at EMA20 54.33, RSI 52.3,"
IONQ,2026-05-21T13:00:00+00:00,volume_absorption,58.52,skip,4,,,,,,,,7724,968,Volume absorption trigger fires with 3.6x volume and price above VWAP (58.52 vs 
IONQ,2026-05-22T13:00:00+00:00,volume_absorption,63.165,enter,7,63.16,61.15,67.18,hit_sl,61.15,96.0,-3.182393920202657,7716,462,"Volume absorption trigger fires on a powerful H1 bar (O=58.42, H=63.50, C=63.16,"
IONQ,2026-05-27T12:00:00+00:00,ema_pullback,61.76,skip,4,,,,,,,,7720,901,While the ema_pullback setup has positive attributes — StochRSI deeply oversold 
